Language,WordNet SSID,Wikidata QID,WordNet Definition,Wikidata Definition,Exact,Accept,Wikidata
"East Germanic, East Germanic language",https://en-word.net/id/oewn-06968300-n,https://www.wikidata.org/entity/Q108662,an extinct branch of the Germanic languages,group of extinct Indo-European languages in the Germanic family,Exact,TRUE,
"Gothic, Gothic language",https://en-word.net/id/oewn-06968446-n,https://www.wikidata.org/entity/Q35722,extinct East Germanic language of the ancient Goths; the only surviving record being fragments of a 4th-century translation of the Bible by Bishop Ulfilas,extinct East Germanic language that was spoken by the Goths,Exact,TRUE,
"Celtic, Celtic language",https://en-word.net/id/oewn-06973038-n,https://www.wikidata.org/entity/Q25293,a branch of the Indo-European languages that (judging from inscriptions and place names) was spread widely over Europe in the pre-Christian era,language family,Exact,TRUE,
"Gaelic, Goidelic, Erse, Goidelic language, Erse language, Gaelic language",https://en-word.net/id/oewn-06973306-n,https://www.wikidata.org/entity/Q9314,any of several related languages of the Celts in Ireland and Scotland,Goidelic Celtic language of Scotland,Multiple,FALSE,
"Gaelic, Goidelic, Erse, Goidelic language, Erse language, Gaelic language",https://en-word.net/id/oewn-06973306-n,https://www.wikidata.org/entity/Q56433,any of several related languages of the Celts in Ireland and Scotland,Celtic language family,Multiple,TRUE,
"Gaelic, Goidelic, Erse, Goidelic language, Erse language, Gaelic language",https://en-word.net/id/oewn-06973306-n,https://www.wikidata.org/entity/Q12175,any of several related languages of the Celts in Ireland and Scotland,Celtic language spoken on the Isle of Man,Multiple,FALSE,
"Gaelic, Goidelic, Erse, Goidelic language, Erse language, Gaelic language",https://en-word.net/id/oewn-06973306-n,https://www.wikidata.org/entity/Q9142,any of several related languages of the Celts in Ireland and Scotland,language native to Ireland,Multiple,FALSE,
"Irish, Irish Gaelic, Irish language, Irish Gaelic language",https://en-word.net/id/oewn-06973518-n,https://www.wikidata.org/entity/Q9142,the Celtic language of Ireland,language native to Ireland,Exact,TRUE,
"Old Irish, Old Irish language",https://en-word.net/id/oewn-06973688-n,https://www.wikidata.org/entity/Q35308,Irish Gaelic up to about 1100,oldest widely attested Goidelic Celtic language (c. 600 – c. 900); extinct language with ISO 639-3 code sga,Exact,TRUE,
"Middle Irish, Middle Irish language",https://en-word.net/id/oewn-06973773-n,https://www.wikidata.org/entity/Q36116,Irish Gaelic from 1100 to 1500,"Goidelic language which was spoken in Ireland, Scotland and the Isle of Man from the 10th to 12th centuries",Exact,TRUE,
"Scottish Gaelic, Scots Gaelic, Scottish Gaelic language, Scots Gaelic language",https://en-word.net/id/oewn-06973862-n,https://www.wikidata.org/entity/Q9314,the Gaelic of Scotland,Goidelic Celtic language of Scotland,Exact,TRUE,
"Manx, Manx language",https://en-word.net/id/oewn-06973961-n,https://www.wikidata.org/entity/Q12175,the ancient Gaelic formerly spoken on the Isle of Man; the language is sometimes used on ceremonial occasions,Celtic language spoken on the Isle of Man,Exact,TRUE,
"Brythonic, Brittanic",https://en-word.net/id/oewn-06974139-n,https://www.wikidata.org/entity/Q156877,a southern group of Celtic languages,"subfamily of Celtic languages, including Welsh, Cornish, Breton and Cumbric",Multiple,TRUE,
"Brythonic, Brittanic",https://en-word.net/id/oewn-06974139-n,https://www.wikidata.org/entity/Q1248800,a southern group of Celtic languages,"ancient Celtic language of Britain, ancestor to Welsh, Cornish, Breton and Cumbric",Multiple,FALSE,
"Welsh, Cymric, Welsh language, Cymric language",https://en-word.net/id/oewn-06974297-n,https://www.wikidata.org/entity/Q9309,a Celtic language of Wales,Brittonic language spoken natively in Wales,Exact,TRUE,
"Cornish, Cornish language",https://en-word.net/id/oewn-06974421-n,https://www.wikidata.org/entity/Q25289,a Celtic language spoken in Cornwall,Brythonic Celtic language indigenous to Cornwall,Exact,TRUE,
"Breton, Breton language",https://en-word.net/id/oewn-06974511-n,https://www.wikidata.org/entity/Q12107,a Celtic language of Brittany,Celtic language spoken in France,Exact,TRUE,
"Italic, Italic language",https://en-word.net/id/oewn-06974593-n,https://www.wikidata.org/entity/Q131848,a branch of the Indo-European languages of which Latin is the chief representative,subfamily of the Indo-European language family spoken by Italic peoples,Exact,TRUE,
Osco-Umbrian,https://en-word.net/id/oewn-06974800-n,https://www.wikidata.org/entity/Q515194,a group of dead languages of ancient Italy; they were displaced by Latin,"Italic language family consisting of Oscan, Umbrian, and their closest relatives",Exact,TRUE,
"Umbrian, Umbrian language",https://en-word.net/id/oewn-06974984-n,https://www.wikidata.org/entity/Q36957,"an extinct Italic language of ancient southern Italy, spoken by the Umbri",extinct Italic language of central Italy,Exact,TRUE,
"Oscan, Oscan language",https://en-word.net/id/oewn-06975090-n,https://www.wikidata.org/entity/Q36653,"an extinct Italic language of ancient southern Italy, spoken by a number of tribes, including the Samnites, the Aurunci, and the Sidicini",extinct language of southern Italy,Exact,TRUE,
"Sabellian, Sabellian language",https://en-word.net/id/oewn-06975194-n,https://www.wikidata.org/entity/Q515194,an extinct Osco-Umbrian language of ancient Italy that survives only in a few inscriptions,"Italic language family consisting of Oscan, Umbrian, and their closest relatives",Exact,TRUE,
Latin,https://en-word.net/id/oewn-06975340-n,https://www.wikidata.org/entity/Q397,any dialect of the language of ancient Rome,Indo-European language of the Italic branch,Exact,TRUE,
"Old Latin, Old Latin language",https://en-word.net/id/oewn-06975694-n,https://www.wikidata.org/entity/Q12289,the oldest recorded Latin (dating back at early as the 6th century B.C.),period of the Latin language,Exact,TRUE,
classical Latin,https://en-word.net/id/oewn-06975822-n,https://www.wikidata.org/entity/Q253854,the language of educated people in ancient Rome,high-prestige form of the Latin language in the Roman Republic and Empire,Exact,TRUE,
Low Latin,https://en-word.net/id/oewn-06976032-n,https://www.wikidata.org/entity/Q1163234,any dialect of Latin other than classical Latin,form of Latin used in the Middle Ages,Exact,TRUE,
Vulgar Latin,https://en-word.net/id/oewn-06976171-n,https://www.wikidata.org/entity/Q37560,nonclassical Latin dialects spoken in the Roman Empire; source of Romance languages,non-standard Latin variety spoken by the people of Ancient Rome,Exact,TRUE,
"Medieval Latin, Medieval Latin language",https://en-word.net/id/oewn-06976446-n,https://www.wikidata.org/entity/Q1163234,Latin used for liturgical purposes during the Middle Ages,form of Latin used in the Middle Ages,Exact,TRUE,
"Late Latin, Biblical Latin, Late Latin language, Biblical Latin language",https://en-word.net/id/oewn-06976313-n,,the form of Latin written between the 3rd and 8th centuries,,None,FALSE,https://www.wikidata.org/wiki/Q1503113
"Neo-Latin, New Latin, New Latin language, Neo-Latin language",https://en-word.net/id/oewn-06976564-n,,Latin since the Renaissance; used for scientific nomenclature,,None,FALSE,
"Romance, Romance language, Latinian language",https://en-word.net/id/oewn-06976693-n,,the group of languages derived from Latin,,None,FALSE,
"Haitian Creole, Haitian Creole language",https://en-word.net/id/oewn-06918289-n,https://www.wikidata.org/entity/Q33491,a creole language spoken by most Haitians; based on French and various African languages,language spoken in Haiti,Exact,TRUE,
"Italian, Italian language",https://en-word.net/id/oewn-06976989-n,https://www.wikidata.org/entity/Q652,the Romance language spoken in Italy,Romance language,Exact,TRUE,
"Old Italian, Old Italian language",https://en-word.net/id/oewn-06977227-n,,the Italian language up to the middle of the 16th century,,None,FALSE,https://www.wikidata.org/wiki/Q135913388
Sardinian,https://en-word.net/id/oewn-06977342-n,https://www.wikidata.org/entity/Q33976,the Italian dialect spoken in Sardinia; sometimes considered a separate language with many loan words from Spanish,Romance language indigenous to the island of Sardinia,Exact,TRUE,
Tuscan,https://en-word.net/id/oewn-06977530-n,https://www.wikidata.org/entity/Q1990745,a dialect of Italian spoken in Tuscany (especially Florence),Italo-Dalmatian variety mainly spoken in the Italian region of Tuscany,Exact,TRUE,
"French, French language",https://en-word.net/id/oewn-06977643-n,https://www.wikidata.org/entity/Q150,the Romance language spoken in France and in countries colonized by France,Romance language,Exact,TRUE,
"Langue d'oil, Langue d'oil French",https://en-word.net/id/oewn-06978029-n,,medieval provincial dialects of French spoken in central and northern France,,None,FALSE,https://www.wikidata.org/wiki/Q37351
"Langue d'oc, Langue d'oc French",https://en-word.net/id/oewn-06978186-n,https://www.wikidata.org/entity/Q14185,medieval provincial dialects of French formerly spoken in the south of France,Romance language of Western Europe,Exact,FALSE,no match
"Provencal, Occitan",https://en-word.net/id/oewn-06978970-n,https://www.wikidata.org/entity/Q14185,the medieval dialects of Langue d'oc (southern France),Romance language of Western Europe,Exact,FALSE,https://www.wikidata.org/wiki/Q2779185
"Old French, Old French language",https://en-word.net/id/oewn-06978360-n,https://www.wikidata.org/entity/Q35222,the earliest form of the French language; 9th to 15th century,Gallo-Romance dialect continuum spoken from the 9th century to the middle of the 14th century,Exact,TRUE,
"Norman-French, Norman French, Old North French",https://en-word.net/id/oewn-06978478-n,https://www.wikidata.org/entity/Q33850,the medieval Norman dialect of Old French,Romance language of northwest France,Exact,TRUE,
"Anglo-French, Anglo-Norman, Anglo-Norman language, Anglo-French language",https://en-word.net/id/oewn-06978614-n,https://www.wikidata.org/entity/Q35214,the French (Norman) language used in medieval England,langue d'oïl formerly spoken in the British Isles,Exact,TRUE,
"Canadian French, Canadian French language",https://en-word.net/id/oewn-06978741-n,https://www.wikidata.org/entity/Q1450506,"the French language as spoken in Quebec, Canada",dialect of French mainly spoken in Canada,Exact,TRUE,
Walloon,https://en-word.net/id/oewn-06978850-n,https://www.wikidata.org/entity/Q34219,a dialect of French spoken in Belgium and adjacent parts of France,Romance language indigenous to Belgium and France,Exact,TRUE,
"Portuguese, Portuguese language",https://en-word.net/id/oewn-06979090-n,https://www.wikidata.org/entity/Q5146,the Romance language spoken in Portugal and Brazil,Western Romance language of the Indo-European language family,Exact,TRUE,
"Galician, Galician language",https://en-word.net/id/oewn-06979234-n,https://www.wikidata.org/entity/Q9307,"a language spoken in Galicia, an autonomous community of Spain",Western Ibero-Romance language,Exact,TRUE,
"Spanish, Spanish language",https://en-word.net/id/oewn-06979499-n,https://www.wikidata.org/entity/Q1321,the Romance language spoken in most of Spain and the countries colonized by Spain,Romance language originating in the Iberian Peninsula,Exact,TRUE,
"Castilian, Castilian language",https://en-word.net/id/oewn-06979859-n,https://www.wikidata.org/entity/Q1321,the Spanish language as spoken in Castile,Romance language originating in the Iberian Peninsula,Multiple,FALSE,https://www.wikidata.org/wiki/Q2631909
"Castilian, Castilian language",https://en-word.net/id/oewn-06979859-n,https://www.wikidata.org/entity/Q71924,the Spanish language as spoken in Castile,branch of West Iberian languages,Multiple,FALSE,
"Castilian, Castilian language",https://en-word.net/id/oewn-06979859-n,https://www.wikidata.org/entity/Q3851707,the Spanish language as spoken in Castile,,Multiple,FALSE,
"Judeo-Spanish, Ladino",https://en-word.net/id/oewn-06979956-n,https://www.wikidata.org/entity/Q36196,the Spanish dialect spoken by Sephardic Jews but written in the Hebrew script,language derived from Medieval Spanish spoken by Sephardic Jews,Exact,TRUE,
Mexican Spanish,https://en-word.net/id/oewn-06980102-n,,the dialect of Spanish spoken in Mexico,,None,FALSE,https://www.wikidata.org/wiki/Q616620
"Catalan, Catalan language",https://en-word.net/id/oewn-06980203-n,https://www.wikidata.org/entity/Q7026,the Romance language spoken in Catalonia in eastern Spain (related to Spanish and Occitan),Western Romance language,Exact,TRUE,
"Rhaeto-Romance, Rhaeto-Romanic",https://en-word.net/id/oewn-06980384-n,https://www.wikidata.org/entity/Q515593,Romance dialects spoken in parts of southeastern Switzerland and northern Italy and the Tyrol,"proposed branch of Gallo-Rhaetian consisting of Friulian, Ladin, and Romansh",Exact,TRUE,
"Friulian, Friuli",https://en-word.net/id/oewn-06980609-n,https://www.wikidata.org/entity/Q33441,a Rhaeto-Romance dialect spoken in northeastern Italy,"Romance language belonging to the Rhaeto-Romance family, spoken in the Friuli region of northeastern Italy",Exact,TRUE,
Ladin,https://en-word.net/id/oewn-06980726-n,https://www.wikidata.org/entity/Q36202,a Rhaeto-Romance dialect of Romansh spoken in southeastern Switzerland,Romance language,Exact,TRUE,
"Romansh, Rumansh, Romansh language, Rumansh language",https://en-word.net/id/oewn-06980848-n,https://www.wikidata.org/entity/Q13199,the Rhaeto-Romance language spoken in southeastern Switzerland; it is an official language of Switzerland,Romance language spoken in the Swiss canton of Grisons (Graubünden),Exact,TRUE,
"Romanian, Rumanian, Romanian language, Rumanian language",https://en-word.net/id/oewn-06981017-n,https://www.wikidata.org/entity/Q7913,an eastern Romance language spoken in Romania,"Eastern Romance language, official in Romania and Moldova",Exact,TRUE,
Tocharian,https://en-word.net/id/oewn-06981381-n,https://www.wikidata.org/entity/Q37029,a branch of the Indo-European language family that originated in central Asia during the first millennium A.D.,extinct Indo-European languages in Asia,Exact,TRUE,
"Turfan, East Tocharian, Turfan dialect",https://en-word.net/id/oewn-06981583-n,https://www.wikidata.org/entity/Q2827041,"a dialect of Tocharian, of Qarašähär and Turpan",extinct Indo-European language,Exact,TRUE,
"Kuchean, West Tocharian, Kuchean dialect",https://en-word.net/id/oewn-06981692-n,https://www.wikidata.org/entity/Q3199353,"a dialect of Tocharian, of Kucha, Qarašähär, and Turpan",extinct Indo-European language of Asia,Exact,TRUE,
"Indo-Iranian, Indo-Iranian language",https://en-word.net/id/oewn-06984532-n,https://www.wikidata.org/entity/Q33514,the branch of the Indo-European family of languages including the Indic and Iranian language groups,branch of the Indo-European language family,Exact,TRUE,
"Indic, Indo-Aryan",https://en-word.net/id/oewn-06984750-n,https://www.wikidata.org/entity/Q33577,a branch of the Indo-Iranian family of languages,branch of the Indo-Iranian languages in the Indo-European language family,Exact,TRUE,
"Sanskrit, Sanskritic language, Sanskrit language",https://en-word.net/id/oewn-06981803-n,https://www.wikidata.org/entity/Q11059,(Hinduism) an ancient language of India (the language of the Vedas and of Hinduism); an official language of India although it is now used only for religious purposes,ancient Indo-Aryan language of South Asia,Exact,TRUE,
"Romany, Gypsy, Romany language, Gypsy language",https://en-word.net/id/oewn-06982496-n,https://www.wikidata.org/entity/Q13201,the Indic language of the Romani,language of the Romani people belonging to the Indo-Aryan branch of the Indo-European language family,Exact,TRUE,
"Urdu, Urdu language",https://en-word.net/id/oewn-06982590-n,https://www.wikidata.org/entity/Q1617,"the official literary language of Pakistan, closely related to Hindi; widely used in India (mostly by Muslims); written in Arabic script",Indo-Aryan language spoken in South Asia,Exact,TRUE,
"Hindi, Hindi language",https://en-word.net/id/oewn-06982777-n,https://www.wikidata.org/entity/Q1568,the most widely spoken of modern Indic vernaculars; spoken mostly in the north of India; along with English it is one of the main official languages of India; usually written in Devanagari script,Indo-Aryan language spoken in India,Exact,TRUE,
"Hindustani, Hindoostani, Hindostani, Hindustani language, Hindoostani language, Hindostani language",https://en-word.net/id/oewn-06983047-n,https://www.wikidata.org/entity/Q11051,a form of Hindi spoken around Delhi,"Indo-Aryan language spoken in South Asia, comprising the two normative forms of Hindi and Urdu",Exact,FALSE,no match
"Bihari, Bihari language",https://en-word.net/id/oewn-06983184-n,https://www.wikidata.org/entity/Q135305,the Indic language spoken in Bihar (and by some people in Pakistan and Bangladesh),a subgroup of the Indo-Aryan languages that is usually included in the Eastern branch of Indo-Aryan,Exact,TRUE,
Magadhan,https://en-word.net/id/oewn-06983319-n,https://www.wikidata.org/entity/Q36727,a subfamily of Indic languages,Indo-Aryan language native to the Indian subcontinent,Exact,FALSE,https://www.wikidata.org/wiki/Q12593391
"Assamese, Asamiya, Assamese language, Asamiya language",https://en-word.net/id/oewn-06983458-n,https://www.wikidata.org/entity/Q29401,the Magadhan language spoken by the Assamese people; closely related to Bengali,"Indo-Aryan language spoken in Assam, India",Exact,TRUE,
"Bengali, Bangla, Bengali language, Bangla language",https://en-word.net/id/oewn-06983620-n,https://www.wikidata.org/entity/Q9610,a Magadhan language spoken by the Bengali people; the official language of Bangladesh and Bengal,Indo-Aryan language mostly spoken in Bangladesh and India,Exact,TRUE,
"Oriya, Oriya language",https://en-word.net/id/oewn-06983797-n,https://www.wikidata.org/entity/Q33810,a Magadhan language that is spoken by the Oriya and is the official language of the Indian state of Orissa,Indian language,Exact,TRUE,
"Marathi, Mahratti, Marathi language, Mahratti language",https://en-word.net/id/oewn-06983955-n,https://www.wikidata.org/entity/Q1571,an Indic language; the state language of Maharashtra in west central India; written in the Devanagari script,Indo-Aryan language,Exact,TRUE,
"Gujarati, Gujerati, Gujarati language, Gujerati language",https://en-word.net/id/oewn-06984128-n,https://www.wikidata.org/entity/Q5137,the Indic language spoken by the people of India who live in Gujarat in western India,Indo-Aryan language that is spoken on the state of Gujarat,Exact,TRUE,
"Punjabi, Panjabi, Panjabi language, Punjabi language",https://en-word.net/id/oewn-06984279-n,https://www.wikidata.org/entity/Q58635,the Indic language spoken by people in Pakistan and Punjab,Indo-Aryan language spoken in the Punjab region of Pakistan and India,Exact,TRUE,
"Sinhalese, Singhalese, Sinhala, Singhalese language, Sinhala language, Sinhalese language",https://en-word.net/id/oewn-06984401-n,https://www.wikidata.org/entity/Q13267,the Indic language spoken by the people of Sri Lanka,insular Indo-Aryan language native to Sri Lanka,Exact,TRUE,
"Sindhi, Sindhi language",https://en-word.net/id/oewn-06982379-n,https://www.wikidata.org/entity/Q33997,the Indic language of Sind which is spoken also in western India,Indo-Aryan language spoken in Pakistan and India,Exact,TRUE,
"Dard, Dardic, Dardic language",https://en-word.net/id/oewn-06984971-n,https://www.wikidata.org/entity/Q161101,any of a group of Indic languages spoken in Kashmir and eastern Afghanistan and northern Pakistan,cover term for Indo-Aryan languages spoken in the Hindu-Kush region,Exact,TRUE,
"Shina, Shina language",https://en-word.net/id/oewn-06985218-n,https://www.wikidata.org/entity/Q1353320,a Dardic language spoken in northern Kashmir,language from the Dardic sub-group of the Indo-Aryan languages family spoken by the Shina people,Exact,TRUE,
"Khowar, Khowar language",https://en-word.net/id/oewn-06985314-n,https://www.wikidata.org/entity/Q938216,a Dardic language spoken in northwestern Pakistan,Indo-Aryan language of the Dardic group spoken in Chitral Khyber Pakhtunkhwa and Gilgit region of Pakistan,Exact,TRUE,
"Kafiri, Kafiri language",https://en-word.net/id/oewn-06985416-n,,a Dardic language spoken by the Kafir in northeastern Afghanistan,,None,TRUE,
"Kashmiri, Kashmiri language",https://en-word.net/id/oewn-06985534-n,https://www.wikidata.org/entity/Q33552,the official state language of Kashmir,language from the Dardic subgroup of the Indo-Aryan languages,Exact,TRUE,
"Nepali, Nepali language",https://en-word.net/id/oewn-06985645-n,https://www.wikidata.org/entity/Q33823,the official state language of Nepal,official language of Nepal,Exact,TRUE,
"Prakrit, Prakrit language",https://en-word.net/id/oewn-06985752-n,https://www.wikidata.org/entity/Q192170,any of the vernacular Indic languages of north and central India (as distinguished from Sanskrit) recorded from the 3rd century BC to the 4th century AD,language family,Exact,TRUE,
"Pali, Pali language",https://en-word.net/id/oewn-06985994-n,https://www.wikidata.org/entity/Q16919429,an ancient Prakrit language (derived from Sanskrit) that is the scriptural and liturgical language of Theravada Buddhism,West Chadic language of Nigeria,Multiple,FALSE,
"Pali, Pali language",https://en-word.net/id/oewn-06985994-n,https://www.wikidata.org/entity/Q36727,an ancient Prakrit language (derived from Sanskrit) that is the scriptural and liturgical language of Theravada Buddhism,Indo-Aryan language native to the Indian subcontinent,Multiple,TRUE,
Prakrit,https://en-word.net/id/oewn-06986165-n,https://www.wikidata.org/entity/Q192170,any of the modern Indic languages,language family,Exact,TRUE,
"Iranian, Iranian language",https://en-word.net/id/oewn-06986270-n,https://www.wikidata.org/entity/Q9168,the modern Persian language spoken in Iran,Western Iranian language,Multiple,FALSE,https://www.wikidata.org/wiki/Q33527
"Iranian, Iranian language",https://en-word.net/id/oewn-06986270-n,https://www.wikidata.org/entity/Q33527,the modern Persian language spoken in Iran,branch of the Indo-Iranian languages in the Indo-European language family,Multiple,FALSE,
"Avestan, Zend, Avestan language, Zend language",https://en-word.net/id/oewn-06986601-n,https://www.wikidata.org/entity/Q29572,"an ancient Iranian language, used as the language of Zoroastrian scripture",Eastern Iranian language used in Zoroastrian scripture,Exact,TRUE,
"Gathic, Gathic language",https://en-word.net/id/oewn-06986707-n,,"an ancient Iranian language used in the most sacred texts of the Zoroastrian faith, the Gathas",,None,FALSE,https://www.wikidata.org/wiki/Q135913439
"Persian, Farsi, Persian language, Farsi language",https://en-word.net/id/oewn-06986787-n,https://www.wikidata.org/entity/Q9168,the language of Persia (Iran) in any of its ancient forms,Western Iranian language,Exact,TRUE,
"Dari, Dari Persian, Dari Persian language, Dari language",https://en-word.net/id/oewn-06986943-n,https://www.wikidata.org/entity/Q32389,an Iranian language spoken in Afghanistan,Northwestern Iranian ethnolect,Multiple,FALSE,
"Dari, Dari Persian, Dari Persian language, Dari language",https://en-word.net/id/oewn-06986943-n,https://www.wikidata.org/entity/Q178440,an Iranian language spoken in Afghanistan,dialect of the Persian language spoken in Afghanistan,Multiple,TRUE,
"Dari, Dari Persian, Dari Persian language, Dari language",https://en-word.net/id/oewn-06986943-n,https://www.wikidata.org/entity/Q56356571,an Iranian language spoken in Afghanistan,modern stage of the Persian language,Multiple,FALSE,
"Tajiki, Tajik, Tadzhik, Tajik language, Tadzhik language, Tajiki language",https://en-word.net/id/oewn-06987050-n,https://www.wikidata.org/entity/Q9260,the Iranian language of the Tajik that is closely related to Farsi; spoken in Iran and Tajikistan,language spoken in Tajikistan,Exact,TRUE,
"Kurdish, Kurdish language",https://en-word.net/id/oewn-06987218-n,https://www.wikidata.org/entity/Q36368,an Iranian language spoken in Turkey and Iran and Iraq and Syria and Russia,Western Iranian language,Exact,TRUE,
"Balochi, Baluchi, Baluchi language, Balochi language",https://en-word.net/id/oewn-06987347-n,https://www.wikidata.org/entity/Q33049,an Iranian language spoken in Pakistan and Iran and Afghanistan and Russia and the Persian gulf,"Northwestern Iranian language spoken in Pakistan, Iran and Afghanistan",Exact,TRUE,
"Pahlavi, Pehlevi, Pehlevi language, Pahlavi language",https://en-word.net/id/oewn-06987506-n,https://www.wikidata.org/entity/Q32063,the Iranian language of the Zoroastrian literature of the 3rd to 10th centuries,"southwestern Iranian language, predecessor to New Persian",Exact,TRUE,
"Parthian, Parthian language",https://en-word.net/id/oewn-06987667-n,https://www.wikidata.org/entity/Q25953,the Iranian language spoken in the Parthian kingdom (250 BC to AD 226),language,Exact,TRUE,
"Pashto, Pashtu, Paxto, Afghani, Afghan, Afghan language, Pashto language, Pashtu language, Afghani language, Paxto language",https://en-word.net/id/oewn-06987792-n,https://www.wikidata.org/entity/Q58680,an Iranian language spoken in Afghanistan and Pakistan; the official language of Afghanistan,Indo-Aryan language of Afghanistan and Pakistan,Exact,TRUE,
"Ossete, Ossete language",https://en-word.net/id/oewn-06988028-n,https://www.wikidata.org/entity/Q33968,a northeastern Iranian language spoken in Russia,"Eastern Iranian language of Ossetia, in the Caucasus",Exact,TRUE,
"Scythian, Scythian language",https://en-word.net/id/oewn-06988129-n,https://www.wikidata.org/entity/Q749834,the Iranian language spoken by the ancient Scythians,group of Eastern Iranian languages,Exact,TRUE,
"Anatolian, Anatolian language",https://en-word.net/id/oewn-06988254-n,https://www.wikidata.org/entity/Q147085,an extinct branch of the Indo-European family of languages known from inscriptions and important in the reconstruction of Proto-Indo European,language family,Exact,TRUE,
Hittite,https://en-word.net/id/oewn-06988562-n,https://www.wikidata.org/entity/Q35668,the language of the Hittites and the principal language of the Anatolian group of languages; deciphered from cuneiform inscriptions,extinct Bronze Age Indo-European language,Exact,TRUE,
"Lycian, Lycian language",https://en-word.net/id/oewn-06988747-n,https://www.wikidata.org/entity/Q35969,an Anatolian language spoken by the ancient Lycians,language,Exact,TRUE,
"Luwian, Luvian, Luvian language, Luwian language",https://en-word.net/id/oewn-06988821-n,https://www.wikidata.org/entity/Q10713,an Anatolian language closely related to Lycian,ancient language,Exact,TRUE,
"Lydian, Lydian language",https://en-word.net/id/oewn-06988904-n,https://www.wikidata.org/entity/Q36095,an Anatolian language spoken in the region of Lydia,language,Exact,TRUE,
"Palaic, Palaic language",https://en-word.net/id/oewn-06988978-n,https://www.wikidata.org/entity/Q36582,an Anatolian language spoken in the northwest of present mainland Turkey,language,Exact,TRUE,
"Greek, Hellenic, Hellenic language",https://en-word.net/id/oewn-06989052-n,https://www.wikidata.org/entity/Q9129,the Hellenic branch of the Indo-European family of languages,Indo-European language,Multiple,FALSE,
"Greek, Hellenic, Hellenic language",https://en-word.net/id/oewn-06989052-n,https://www.wikidata.org/entity/Q2042538,the Hellenic branch of the Indo-European family of languages,branch of Indo-European language family,Multiple,TRUE,
"Modern Greek, New Greek, Modern Greek language, New Greek language",https://en-word.net/id/oewn-06989340-n,https://www.wikidata.org/entity/Q36510,the Greek language as spoken and written today,dialects and varieties of the Greek language spoken in the modern era,Exact,TRUE,
"Romaic, Demotic, Romaic language, Demotic language",https://en-word.net/id/oewn-06989493-n,https://www.wikidata.org/entity/Q36765,the modern Greek vernacular,stage of ancient Egyptian language,Exact,FALSE,https://www.wikidata.org/wiki/Q35392
"Katharevusa, Katharevusa language",https://en-word.net/id/oewn-06989619-n,,literary style of Modern Greek containing features borrowed from Koine,,None,FALSE,https://www.wikidata.org/wiki/Q35961
"Late Greek, Late Greek language",https://en-word.net/id/oewn-06989747-n,,the Greek language in the 3rd to 8th centuries,,None,FALSE,no match
"Medieval Greek, Middle Greek, Byzantine Greek, Middle Greek language, Medieval Greek language, Byzantine Greek language",https://en-word.net/id/oewn-06989850-n,,the Greek language from about 600 to 1200 AD,,None,FALSE,https://www.wikidata.org/wiki/Q36387
Koine,https://en-word.net/id/oewn-06989988-n,,a Greek dialect that flourished under the Roman Empire,,None,FALSE,https://www.wikidata.org/wiki/Q107358
"Ancient Greek, Ancient Greek language",https://en-word.net/id/oewn-06990094-n,https://www.wikidata.org/entity/Q35497,the Greek language prior to the Roman Empire,forms of Greek used from around the 9th century BCE to the 6th century CE,Exact,TRUE,
"Attic, Ionic, Ionic dialect, Classical Greek",https://en-word.net/id/oewn-06990270-n,https://www.wikidata.org/entity/Q11871956,the dialect of Ancient Greek spoken and written in Attica and Athens and Ionia,Greek language of the Classical period (5th and 4th centuries BCE),Exact,TRUE,
"Aeolic, Aeolic dialect, Eolic",https://en-word.net/id/oewn-06990460-n,,the dialect of Ancient Greek spoken in Thessaly and Boeotia and Aeolis,,None,FALSE,https://www.wikidata.org/wiki/Q406373
"Arcadic, Arcadic dialect",https://en-word.net/id/oewn-06990608-n,,the dialect of Ancient Greek spoken by Arcadians,,None,FALSE,no match
"Doric, Doric dialect",https://en-word.net/id/oewn-06990728-n,https://www.wikidata.org/entity/Q1245019,the dialect of Ancient Greek spoken in Doris,dialect of Scots,Exact,FALSE,https://www.wikidata.org/wiki/Q285494
Centum language,https://en-word.net/id/oewn-92466500-n,,"an Indo-European language that shows distinctive preservation of the Proto-Indo-European labiovelars and that shows a historical development of velar articulations, as the sounds /k/ or /kʰ/ (‘kh’) from Proto-Indo-European palatal phonemes.",,None,FALSE,https://www.wikidata.org/wiki/Q20894484
Ural-Altaic,https://en-word.net/id/oewn-06968671-n,,a (postulated) group of languages including many of the indigenous languages of Russia (but not Russian),,None,FALSE,https://www.wikidata.org/wiki/Q728651
"Altaic, Altaic language",https://en-word.net/id/oewn-06938989-n,https://www.wikidata.org/entity/Q37845,a group of related languages spoken in Asia and southeastern Europe,"controversial supergroup of Turkic, Mongolic, Tungusic, Japanese, and Korean languages",Exact,TRUE,
"Turki, Turkic, Turko-Tatar, Turkic language",https://en-word.net/id/oewn-06939235-n,https://www.wikidata.org/entity/Q34090,a subfamily of Altaic languages,language family of Eurasia,Multiple,TRUE,
"Turki, Turkic, Turko-Tatar, Turkic language",https://en-word.net/id/oewn-06939235-n,https://www.wikidata.org/entity/Q1763658,a subfamily of Altaic languages,,Multiple,FALSE,
"Turki, Turkic, Turko-Tatar, Turkic language",https://en-word.net/id/oewn-06939235-n,https://www.wikidata.org/entity/Q703173,a subfamily of Altaic languages,sub-branch of the Turkic language family,Multiple,FALSE,
